Fecha y Hora,Titular,Web
11 Jun. 2024 - 09:10 AM,Comisiones económicas aprueban aumentar cupo de endeudamiento; falta un debate,https://www.valoraanalitik.com/comisiones-economicas-aprueban-aumentar-cupo-de-endeudamiento-falta-un-debate/
11 Jun. 2024 - 08:14 AM,Ante dato de inflación y aprobación de reformas el dólar en Colombia comenzó a la baja,https://www.valoraanalitik.com/ante-dato-de-inflacion-y-aprobacion-de-reformas-el-dolar-en-colombia-comenzo-a-la-baja/
11 Jun. 2024 - 06:45 AM,Confianza del consumidor volvió a caer en Colombia en mayo: Fedesarrollo,https://www.valoraanalitik.com/confianza-del-consumidor-volvio-a-caer-en-colombia-en-mayo-fedesarrollo/
10 Jun. 2024 - 10:04 AM,Premercado | Bolsas reaccionan a elecciones en Europa y atentas a inicio de reunión de la Fed en EE. UU.,https://www.valoraanalitik.com/mercados-bolsas-reaccionan-a-elecciones-en-europa-y-fed-en-ee-uu/
09 Jun. 2024 - 01:00 PM,Entrevista | Presidente de Itaú Colombia: “A medida que bajen las tasas se va a reactivar la economía”,https://www.valoraanalitik.com/entrevista-presidente-de-itau-colombia-a-medida-que-bajen-las-tasas-se-va-a-crear-una-reactivacion/
09 Jun. 2024 - 09:00 AM,Abrir cuentas en dólares en Colombia: así es la propuesta de los bancos,https://www.valoraanalitik.com/abrir-cuentas-dolares-colombia-proponen-los-bancos/
08 Jun. 2024 - 03:00 PM,Entrevista | Presidente Bancolombia: “Debemos buscar que lo político no genere incertidumbre en las personas”,https://www.valoraanalitik.com/entrevista-presidente-bancolombia-debemos-buscar-que-lo-politico-no-genere-incertidumbre-en-las-personas/
08 Jun. 2024 - 11:00 AM,Inversión en TES de corto y mediano plazo los más afectados con reforma pensional,https://www.valoraanalitik.com/inversion-en-tes-de-corto-y-mediano-plazo-serian-los-mas-afectados-con-reforma-pensional/
07 Jun. 2024 - 05:40 PM,Presidente Petro propone mesas con el sector privado para trabajar en reactivación económica,https://www.valoraanalitik.com/presidente-petro-propone-mesas-con-el-sector-privado-para-trabajar-en-reactivacion-economica/
11 Jun. 2024 - 12:11 PM,Plan de reactivación de Petro incluirá cambios en Regla Fiscal y mayor impuesto al carbono,https://www.valoraanalitik.com/plan-reactivacion-petro-cambios-regla-fiscal-mayor-impuesto-carbono/
07 Jun. 2024 - 03:28 PM,"Gobierno asumirá $2,8 billones de opción tarifaria de estratos 1, 2 y 3: así será la operación",https://www.valoraanalitik.com/gobierno-asumira-28-billones-de-opcion-tarifaria-de-estratos-1-2-y-3-asi-sera-la-operacion/
07 Jun. 2024 - 02:11 PM,"Este lunes, Gobierno Petro definirá dónde se recortarán $20 billones del Presupuesto",https://www.valoraanalitik.com/este-lunes-gobierno-petro-definira-donde-se-recortaran-20-billones-del-presupuesto/
07 Jun. 2024 - 10:26 AM,Con leve baja terminó la cotización del dólar en Colombia este viernes,https://www.valoraanalitik.com/con-leve-baja-termino-la-cotizacion-del-dolar-en-colombia-este-viernes/
07 Jun. 2024 - 10:20 AM,Asamblea de Nutresa aprueba que Gilinski participe en negociación para posible venta del grupo,https://www.valoraanalitik.com/asamblea-de-nutresa-aprueba-que-gilinski-participe-en-negociacion-para-posible-venta-del-grupo/
07 Jun. 2024 - 08:35 AM,Dólar en Colombia abre al alza y sobrepasa la barrera de los $3.960,https://www.valoraanalitik.com/dolar-en-colombia-abre-al-alza-y-sobrepasa-la-barrera-de-los-3-960/
07 Jun. 2024 - 08:00 AM,"Junio 07, 2024: PF Bancolombia y Ecopetrol las acciones más negociadas del día",https://www.valoraanalitik.com/pf-bancolombia-y-ecopetrol-las-acciones-mas-negociadas-del-dia-2/
07 Jun. 2024 - 07:04 AM,Empleos crecieron en Estados Unidos en mayo por encima de lo esperado,https://www.valoraanalitik.com/empleos-crecieron-en-estados-unidos-en-mayo-por-encima-de-lo-esperado/
06 Jun. 2024 - 09:00 PM,Premercado | Cierra semana con atención en datos de empleo en EE. UU. y reacciones a posturas del BCE,https://www.valoraanalitik.com/mercados-datos-de-empleo-ee-uu-y-reacciones-a-posturas-del-bce/
06 Jun. 2024 - 08:15 PM,Presidenta Grupo Aval: “Lo que menos necesitamos es mayor incertidumbre; seguiremos invirtiendo”,https://www.valoraanalitik.com/presidenta-grupo-aval-lo-que-menos-necesitamos-mayor-incertidumbre/
07 Jun. 2024 - 03:58 PM,¿Qué efectos puede tener el congelamiento del gobierno Petro al Presupuesto?,https://www.valoraanalitik.com/que-efectos-puede-tener-el-congelamiento-del-gobierno-petro-al-presupuesto/
06 Jun. 2024 - 05:00 PM,Patria firma acuerdo de adquisición de Nexus Capital en Colombia,https://www.valoraanalitik.com/patria-firma-acuerdo-de-adquisicion-de-nexus-capital-en-colombia/
06 Jun. 2024 - 02:55 PM,Nuevo MinComercio: reforma tributaria bajaría renta corporativa a empresas pequeñas,https://www.valoraanalitik.com/nuevo-mincomercio-reforma-tributaria-bajaria-renta-corporativa-a-empresas-pequenas/
06 Jun. 2024 - 01:32 PM,"Dólar en Colombia vuelve a bajar al cierre de este jueves, 6 de junio",https://www.valoraanalitik.com/dolar-en-colombia-vuelve-a-bajar-al-cierre-de-este-jueves-6-de-junio/
06 Jun. 2024 - 01:15 PM,Gobierno Petro congela parcialmente Presupuesto de entidades del Estado,https://www.valoraanalitik.com/gobierno-petro-congela-parcialmente-presupuesto-de-entidades-del-estado/
06 Jun. 2024 - 01:00 PM,¿Tasa de interés en Colombia debería bajar más de lo esperado?,https://www.valoraanalitik.com/tasa-de-interes-en-colombia-deberia-bajar-mas-de-lo-esperado/
06 Jun. 2024 - 12:30 PM,Plataforma de trading Robinhood compra Bitstamp para fortalecer ecosistema cripto,https://www.valoraanalitik.com/plataforma-de-trading-robinhood-compra-bitstamp-para-fortalecer-ecosistema-cripto/
06 Jun. 2024 - 11:09 AM,Séptimo mes consecutivo de caída en flujos de inversión hacia emergentes: IIF,https://www.valoraanalitik.com/caida-en-flujos-de-inversion-hacia-emergentes-en-mayo-de-2024/
06 Jun. 2024 - 10:00 AM,Gobernadora del Chocó propone que explotación del oro sea pública en Colombia,https://www.valoraanalitik.com/gobernadora-del-choco-propone-que-explotacion-del-oro-sea-publica-en-colombia/
06 Jun. 2024 - 09:14 AM,"“Una inversión forzosa genera una distorsión”, presidente de Asobancaria",https://www.valoraanalitik.com/una-inversion-forzosa-genera-una-distorsion-presidente-de-asobancaria/
06 Jun. 2024 - 05:25 PM,"Dólar en Colombia abre a $5 de los $3.950, ante recorte de tasas de interés en Europa",https://www.valoraanalitik.com/dolar-en-colombia-abre-a-5-de-los-3-950-ante-recorte-de-tasas-de-interes-en-europa/
06 Jun. 2024 - 06:02 AM,Banco Central Europeo inicia recortes a tasas de interés antes que la FED,https://www.valoraanalitik.com/banco-central-europeo-inicia-recortes-a-tasas-de-interes-antes-que-la-fed/
05 Jun. 2024 - 06:46 PM,Premercado | Todas las miradas giran al BCE este jueves: proyecciones para primer recorte de tasas en Europa,https://www.valoraanalitik.com/mercados-bce-proyecciones-para-primer-recorte-de-tasas-europa/
05 Jun. 2024 - 05:20 PM,Bancolombia explica razones de caída: “no fue un hackeo”,https://www.valoraanalitik.com/bancolombia-explica-razones-de-caida-no-fue-un-hackeo/
05 Jun. 2024 - 02:50 PM,Carrasquilla dice que gobierno Petro le ha hecho un “daño inmenso” a Colombia,https://www.valoraanalitik.com/carrasquilla-dice-petro-la-ha-hecho-dano-inmenso-a-colombia/
05 Jun. 2024 - 01:57 PM,Juan Esteban Toro será el vicepresidente de Finanzas Corporativas de Grupo Sura,https://www.valoraanalitik.com/juan-esteban-toro-sera-el-vicepresidente-de-finanzas-corporativas-de-grupo-sura/
05 Jun. 2024 - 09:40 AM,Dólar en Colombia termina este miércoles al alza,https://www.valoraanalitik.com/dolar-en-colombia-termina-este-miercoles-al-alza/
05 Jun. 2024 - 09:11 AM,Bancolombia anuncia ofertas de compra en efectivo por bonos senior y subordinados,https://www.valoraanalitik.com/bancolombia-anuncia-ofertas-de-compra-en-efectivo-por-bonos-senior-y-subordinados/
05 Jun. 2024 - 06:26 AM,Dólar en Colombia se encamina a los $3.950; sigue su tendencia alcista,https://www.valoraanalitik.com/dolar-en-colombia-se-encamina-a-los-3-950-sigue-su-tendencia-alcista/
04 Jun. 2024 - 08:45 PM,Premercado | Datos de PMI en China y Europa mueven bolsas este 5 de junio; petróleo sigue a la baja,https://www.valoraanalitik.com/mercados-datos-pmi-china-europa-mueven-mercados-junio-2024/
06 Jun. 2024 - 08:14 AM,"Estas son las cifras de Corteva, a cinco años de su salida al mercado de valores",https://www.valoraanalitik.com/cinco-anos-de-la-salida-de-corteva-a-la-bolsa-de-nueva-york/
04 Jun. 2024 - 04:15 PM,Ahora | Ministerio de Hacienda da nuevo aval fiscal a la reforma pensional,https://www.valoraanalitik.com/ahora-ministerio-de-hacienda-da-nuevo-aval-fiscal-a-la-reforma-pensional/
04 Jun. 2024 - 03:40 PM,"Michel Janna, presidente del Autorregulador del Mercado de Valores, saldría del cargo; consejo directivo definirá fecha",https://www.valoraanalitik.com/michel-janna-presidente-del-autorregulador-del-mercado-de-valores-saldria-del-cargo-consejo-directivo-definira-fecha/
04 Jun. 2024 - 02:40 PM,PMI Davivienda cayó en mayo en Colombia por segundo mes consecutivo,https://www.valoraanalitik.com/pmi-davivienda-cayo-en-mayo-en-colombia-por-segundo-mes-consecutivo/
04 Jun. 2024 - 02:03 PM,BBVA emitirá un bono de biodiversidad para Colombia por US$50 millones,https://www.valoraanalitik.com/bbva-emitira-un-bono-de-biodiversidad-para-colombia-por-us50-millones/
04 Jun. 2024 - 12:00 PM,Dólar en Colombia sube con fuerza y se acerca nuevamente a $3.950,https://www.valoraanalitik.com/dolar-en-colombia-sube-con-fuerza-y-se-acerca-nuevamente-a-3-950/
04 Jun. 2024 - 09:40 AM,Fitch: Bancos de América Latina tienen provisiones y capital para soportar escenario de tensiones severas,https://www.valoraanalitik.com/fitch-ratings-bancos-latinoamericanos-tienen-provisiones-y-capital-para-soportar-escenario-de-tensiones-severas/
04 Jun. 2024 - 09:00 AM,Persistió caída del déficit de cuenta corriente de Colombia en primer trimestre de 2024,https://www.valoraanalitik.com/persistio-caida-del-deficit-de-cuenta-corriente-de-colombia-en-primer-trimestre-de-2024/
04 Jun. 2024 - 08:20 AM,Dólar en Colombia inicia al alza a la espera de debates clave en el Congreso,https://www.valoraanalitik.com/dolar-en-colombia-inicia-al-alza-a-la-espera-de-debates-clave-en-el-congreso/
04 Jun. 2024 - 05:03 AM,Director de la DIAN defiende su gestión: “El recaudo tributario es muy sólido”,https://www.valoraanalitik.com/director-dian-defiende-gestion-recaudo-tributario-es-muy-solido/
04 Jun. 2024 - 05:03 PM,Premercado | ‘Crash’ en Bolsa y peso mexicano tras victoria de Sheinbaum: mayores desplomes desde pandemia,https://www.valoraanalitik.com/mercados-crash-en-bolsa-y-peso-mexicano-tras-victoria-de-sheinbaum/
